"FREGUESIA.x","CONCELHO","id_c","query"
"COVAS DO MONTE","VOUZELA","1824","You are matching parish names (freguesias) within the municipality (concelho) of 'VOUZELA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- FIGUEIREDO DAS DONAS
- S. MIGUEL DO MATO
- FATAUNCOS
- VOUZELA
- PACOS DE VILHARIGUES
- QUEIRA
- VENTOSA
- CAMBRA
- CAMPIA
- FORNELO DO MONTE
- CARVALHAL DE VERMILHAS
- ALCOFRA

Does the name 'COVAS DO MONTE' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"COVELAS","S. TIRSO","1314","You are matching parish names (freguesias) within the municipality (concelho) of 'S. TIRSO' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- AVES
- VILARINHO
- SEQUEIRO
- LAMA
- AREIAS
- S. MARTINHO DO CAMPO
- PALMEIRA
- RORIZ
- S. SALVADOR DO CAMPO
- REBORDOES
- NEGRELOS (S. TOME)
- BURGAES
- S. TIRSO
- NEGRELOS (S. MAMEDE)
- COUTO (SANTA CRISTINA)
- MONTE CORDOVA
- COUTO (S. MIGUEL)
- GUIMAREI
- CARREIRA
- REFOJOS DE RIBA DE AVE
- AGUA LONGA
- LAMELAS
- REGUENGA
- AGRELA

Does the name 'COVELAS' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"EIRO","BOTICAS","1702","You are matching parish names (freguesias) within the municipality (concelho) of 'BOTICAS' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- ARDAOS
- BOBADELA
- SAPIAOS
- ALTURAS DO BARROSO
- BOTICAS
- GRANJA
- BECA
- CERDEDO
- S. SALVADOR DE VIVEIRO
- VILAR
- PINHO
- DORNELAS
- CODESSOSO
- COVAS DO BARROSO
- CURROS
- FIAES DO TAMEGA

Does the name 'EIRO' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"ENTE","ESPINHO","0107","You are matching parish names (freguesias) within the municipality (concelho) of 'ESPINHO' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- GUETIM
- ANTA
- ESPINHO
- SILVALDE
- PARAMOS

Does the name 'ENTE' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"ESCOLAS GERAIS","LISBOA","1106","You are matching parish names (freguesias) within the municipality (concelho) of 'LISBOA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- CHARNECA
- AMEIXOEIRA
- SANTA MARIA DOS OLIVAIS
- LUMIAR
- CARNIDE
- S. JOAO DE BRITO
- MARVILA
- CAMPO GRANDE
- BENFICA
- S. DOMINGOS DE BENFICA
- ALVALADE
- ALTO DO PINA
- NOSSA SENHORA DE FATIMA
- S. JOAO DE DEUS
- CAMPOLIDE
- BEATO
- S. JOAO
- S. SEBASTIAO DA PEDREIRA
- S. JORGE DE ARROIOS
- PENHA DE FRANCA
- ANJOS
- CORACAO DE JESUS
- PENA
- ALCANTARA
- AJUDA
- S. MAMEDE
- SANTA ENGRACIA
- SANTA ISABEL
- S. JOSE
- S. CONDESTAVEL
- GRACA
- SOCORRO
- S. FRANCISCO XAVIER
- SANTIAGO
- S. VICENTE DE FORA
- MERCES
- SANTA JUSTA
- LAPA
- PRAZERES
- ENCARNACAO
- SANTA CATARINA
- CASTELO
- S. CRISTOVAO E S. LOURENCO
- S. MIGUEL
- S. ESTEVAO
- S. NICOLAU
- SACRAMENTO
- MADALENA
- SANTOS-O-VELHO
- MARTIRES
- SE
- S. PAULO
- SANTA MARIA DE BELEM

Does the name 'ESCOLAS GERAIS' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"FERIMENTOS EM COMBATE","REGUENGOS DE MONSARAZ","0711","You are matching parish names (freguesias) within the municipality (concelho) of 'REGUENGOS DE MONSARAZ' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- CORVAL
- REGUENGOS DE MONSARAZ
- MONSARAZ
- CAMPINHO
- CAMPO

Does the name 'FERIMENTOS EM COMBATE' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"FERREIRA","CINFAES","1804","You are matching parish names (freguesias) within the municipality (concelho) of 'CINFAES' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- CINFAES
- S. CRISTOVAO DE NOGUEIRA
- OLIVEIRA DO DOURO
- ESPADANEDO
- TAROUQUELA
- SANTIAGO DE PIAES
- SOUSELO
- RAMIRES
- FERREIROS DE TENDAIS
- MOIMENTA
- TRAVANCA
- TENDAIS
- FORNELOS
- NESPEREIRA
- BUSTELO
- GRALHEIRA
- ALHOES

Does the name 'FERREIRA' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"FOMELOS","PONTE DE LIMA","1607","You are matching parish names (freguesias) within the municipality (concelho) of 'PONTE DE LIMA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- RENDUFE
- LABRUJA
- LABRUJO
- CABRACAO
- BARRIO
- VILAR DO MONTE
- CEPOES
- REFOIOS DO LIMA
- CALHEIROS
- ESTORAOS
- MOREIRA DO LIMA
- ARCOZELO
- BRANDARA
- ARCOS
- SANTA CRUZ DO LIMA
- GEMIEIRA
- GANDRA
- SA
- RIBEIRA
- BEIRAL DO LIMA
- PONTE DE LIMA
- SANTA COMBA
- GONDUFE
- BERTIANDOS
- ARCA
- FEITOSA
- CORRELHA
- SERDEDELO
- FORNELOS
- FONTAO
- REBORDOES (SANTA MARIA)
- VITORINO DAS DONAS
- SEARA
- BOALHOSA
- REBORDOES (SOUTO)
- FACHA
- QUEIJADA
- ANAIS
- FOJO LOBAL
- CABACOS
- VITORINO DOS PIAES
- CALVELO
- FRIASTELAS
- FREIXO
- NAVIO
- MATO
- POIARES
- VILAR DAS ALMAS
- GAIFAR
- ARDEGAO
- SANDIAES

Does the name 'FOMELOS' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"FREIXEDINHA","MIRANDELA","0407","You are matching parish names (freguesias) within the municipality (concelho) of 'MIRANDELA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- AGUIEIRAS
- S. PEDRO VELHO
- FRADIZELA
- TORRE DE D. CHAMA
- BOUCA
- VALE DE GOUVINHAS
- VALE DE TELHAS
- MURIAS
- VALE DE SALGUEIRO
- CABANELAS
- ABAMBRES
- ALVITES
- MASCARENHAS
- AVANTOS
- ROMEU
- CARVALHAIS
- SUCCAES
- CEDAES
- MIRANDELA
- VALE DE ASNES
- PASSOS
- LAMAS DE ORELHAO
- S. SALVADOR
- FRANCO
- VILA VERDE
- CARAVELAS
- MARMELOS
- FREIXEDA
- COBRO
- FRECHAS
- PEREIRA
- AVIDAGOS
- VILA BOA
- VALVERDE
- BARCEL
- NAVALHO
- ABREIRO

Does the name 'FREIXEDINHA' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"FREIXIEIRA","MATOSINHOS","1308","You are matching parish names (freguesias) within the municipality (concelho) of 'MATOSINHOS' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- LAVRA
- PERAFITA
- LECA DO BAILIO
- SANTA CRUZ DO BISPO
- CUSTOIAS
- GUIFOES
- LECA DA PALMEIRA
- S. MAMEDE DE INFESTA
- SENHORA DA HORA
- MATOSINHOS

Does the name 'FREIXIEIRA' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"FREMELE","ALMEIDA","0902","You are matching parish names (freguesias) within the municipality (concelho) of 'ALMEIDA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- MALPARTIDA
- ALMEIDA
- VALE DE COELHA
- VALE VERDE
- VALE DA MULA
- AZINHAL
- JUNCA
- ALDEIA NOVA
- S. PEDRO DE RIO SECO
- NAVES
- PEVA
- LEOMIL
- SENOURAS
- CASTELO BOM
- VILAR FORMOSO
- FREIXO
- MIDO
- CASTELO MENDO
- AMOREIRA
- FREINEDA
- MESQUITELA
- MONTE PEROBOLCO
- CABREIRA
- MALHADA SORDA
- ADE
- NAVE DE HAVER
- PARADA
- PORTO DE OVELHA
- MIUZELA

Does the name 'FREMELE' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"GAVINHA","LOULE","0808","You are matching parish names (freguesias) within the municipality (concelho) of 'LOULE' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- AMEIXIAL
- ALTE
- SALIR
- BENAFIM
- QUERENCA
- TOR
- LOULE (S. SEBASTIAO)
- BOLIQUEIME
- LOULE (S. CLEMENTE)
- QUARTEIRA
- ALMANSIL

Does the name 'GAVINHA' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"GERAZ DO LIMA","POVOA DE LANHOSO","0309","You are matching parish names (freguesias) within the municipality (concelho) of 'POVOA DE LANHOSO' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- FRIANDE
- AJUDE
- VERIM
- S. JOAO DE REI
- RENDUFINHO
- SERZEDELO
- MONSUL
- FRADES
- AGUAS SANTAS
- MOURE
- GERAZ DO MINHO
- FERREIROS
- COVELAS
- CALVOS
- OLIVEIRA
- LANHOSO
- FONTE ARCADA
- ESPERANCA
- BRUNHAIS
- TRAVASSOS
- POVOA DE LANHOSO (NOSSA SENHORA DO AMPARO)
- TAIDE
- SOBRADELO DA GOMA
- GALEGOS
- VILELA
- CAMPOS
- LOUREDO
- GARFE
- S. EMILIAO

Does the name 'GERAZ DO LIMA' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"ILHAVO","AVEIRO","0105","You are matching parish names (freguesias) within the municipality (concelho) of 'AVEIRO' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- CACIA
- VERA CRUZ
- S. JACINTO
- ESGUEIRA
- EIXO
- GLORIA
- SANTA JOANA
- S. BERNARDO
- ARADAS
- OLIVEIRINHA
- EIROL
- REQUEIXO
- NOSSA SENHORA DE FATIMA
- NARIZ

Does the name 'ILHAVO' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"LAGOA","FARO","0805","You are matching parish names (freguesias) within the municipality (concelho) of 'FARO' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- SANTA BARBARA DE NEXE
- ESTOI
- CONCEICAO
- FARO (S. PEDRO)
- FARO (MONTENEGRO)
- FARO (SE)

Does the name 'LAGOA' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"LOBIGOS","SANTA MARTA DE PENAGUIAO","1711","You are matching parish names (freguesias) within the municipality (concelho) of 'SANTA MARTA DE PENAGUIAO' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- CUMEEIRA
- FONTES
- LOUREDO
- FORNELOS
- SEVER
- MEDROES
- LOBRIGOS (S. MIGUEL)
- ALVACOES DO CORGO
- SANHOANE
- LOBRIGOS (S. JOAO BAPTISTA)

Does the name 'LOBIGOS' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"LUGAR GUILHADO","VILA POUCA DE AGUIAR","1713","You are matching parish names (freguesias) within the municipality (concelho) of 'VILA POUCA DE AGUIAR' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- CAPELUDOS
- VALOURA
- BRAGADO
- VREIA DE BORNES
- SABROSO DE AGUIAR
- PARADA DE MONTEIROS
- PENSALVOS
- BORNES DE AGUIAR
- AFONSIM
- VILA POUCA DE AGUIAR
- TRESMINAS
- SANTA MARTA DA MONTANHA
- SOUTELO DE AGUIAR
- VREIA DE JALES
- GOUVAES DA SERRA
- TELOES
- ALFARELA DE JALES

Does the name 'LUGAR GUILHADO' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"MACIEIRA DO LIZ","LEIRIA","1009","You are matching parish names (freguesias) within the municipality (concelho) of 'LEIRIA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- COIMBRAO
- MONTE REDONDO
- BAJOUCA
- CARREIRA
- CARVIDE
- SOUTO DE CARPALHOSA
- BIDOEIRA DE CIMA
- MONTE REAL
- ORTIGOSA
- COLMEIAS
- MILAGRES
- AMOR
- REGUEIRA DE PONTES
- MEMORIA
- BOA VISTA
- MARRAZES
- BAROSA
- CARANGUEJEIRA
- SANTA EUFEMIA
- POUSOS
- LEIRIA
- PARCEIROS
- MACEIRA
- ARRABAL
- AZOIA
- BARREIRA
- CORTES
- SANTA CATARINA DA SERRA
- CHAINCA

Does the name 'MACIEIRA DO LIZ' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"MADALENA","VILA NOVA DE FAMALICAO","0312","You are matching parish names (freguesias) within the municipality (concelho) of 'VILA NOVA DE FAMALICAO' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- ARNOSO (SANTA MARIA)
- ARNOSO (SANTA EULALIA)
- NINE
- SEZURES
- PORTELA
- TELHADO
- JESUFREI
- VALE (S. COSME)
- JOANE
- LEMENHE
- MOUQUIM
- CRUZ
- LOURO
- GAVIAO
- POUSADA DE SARAMAGOS
- VALE (S. MARTINHO)
- VERMOIM
- GONDIFELOS
- CAVALOES
- MOGEGE
- REQUIAO
- VILA NOVA DE FAMALICAO
- PEDOME
- OUTIZ
- BRUFE
- CASTELOES
- OLIVEIRA (SANTA MARIA)
- ANTAS
- CALENDARIO
- RUIVAES
- SEIDE (S. PAIO)
- LANDIM
- VILARINHO DAS CAMBAS
- OLIVEIRA (S. MATEUS)
- SEIDE (S. MIGUEL)
- RIBA DE AVE
- FRADELOS
- NOVAIS
- LAGOA
- ABADE DE VERMOIM
- DELAES
- BENTE
- ESMERIZ
- CARREIRA
- CABECUDOS
- AVIDOS
- BAIRRO
- RIBEIRAO
- LOUSADO

Does the name 'MADALENA' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"MARGARIDE","FELGUEIRAS","1303","You are matching parish names (freguesias) within the municipality (concelho) of 'FELGUEIRAS' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- JUGUEIROS
- SENDIM
- POMBEIRO DE RIBAVIZELA
- VILA FRIA
- S. JORGE DE VIZELA
- PENACOVA
- FELGUEIRAS
- PINHEIRO
- REGILDE
- LAGARES
- FRIANDE
- TORRADOS
- MOURE
- MACIEIRA DA LIXA
- REVINHADE
- VARZEA
- VARZIELA
- SOUSA
- CARAMOS
- REFONTOURA
- SERNANDE
- BORBA DE GODIM
- IDAES
- PEDREIRA
- RANDE
- VILA COVA DA LIXA
- AIRAES
- UNHAO
- LORDELO
- SANTAO
- VILA VERDE
- AIAO

Does the name 'MARGARIDE' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"MATRIZ","MONTEMOR-O-NOVO","0706","You are matching parish names (freguesias) within the municipality (concelho) of 'MONTEMOR-O-NOVO' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- LAVRE
- CORTICADAS DE LAVRE
- CIBORRO
- NOSSA SENHORA DO BISPO
- FOROS DE VALE DE FIGUEIRA
- NOSSA SENHORA DA VILA
- SILVEIRAS
- CABRELA
- S. CRISTOVAO
- SANTIAGO DO ESCOURAL

Does the name 'MATRIZ' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"MINA DA CAVEIRA","GRANDOLA","1505","You are matching parish names (freguesias) within the municipality (concelho) of 'GRANDOLA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- CARVALHAL
- GRANDOLA
- MELIDES
- AZINHEIRA DOS BARROS E S. MAMEDE DO SADAO
- SANTA MARGARIDA DA SERRA

Does the name 'MINA DA CAVEIRA' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"MOINHO DA ROLA","SERTA","0509","You are matching parish names (freguesias) within the municipality (concelho) of 'SERTA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- PEDROGAO PEQUENO
- TROVISCAL
- CARVALHAL
- CASTELO
- SERTA
- CERNACHE DO BONJARDIM
- FIGUEIREDO
- ERMIDA
- CABECUDO
- VARZEA DOS CAVALEIROS
- NESPERAL
- CUMEADA
- PALHAIS
- MARMELEIRO

Does the name 'MOINHO DA ROLA' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"MONTE DE SETE ESPIGAS","OURIQUE","0212","You are matching parish names (freguesias) within the municipality (concelho) of 'OURIQUE' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- PANOIAS
- CONCEICAO
- SANTA LUZIA
- GARVAO
- OURIQUE
- SANTANA DA SERRA

Does the name 'MONTE DE SETE ESPIGAS' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"MONTE PEDRAL","LISBOA","1106","You are matching parish names (freguesias) within the municipality (concelho) of 'LISBOA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- CHARNECA
- AMEIXOEIRA
- SANTA MARIA DOS OLIVAIS
- LUMIAR
- CARNIDE
- S. JOAO DE BRITO
- MARVILA
- CAMPO GRANDE
- BENFICA
- S. DOMINGOS DE BENFICA
- ALVALADE
- ALTO DO PINA
- NOSSA SENHORA DE FATIMA
- S. JOAO DE DEUS
- CAMPOLIDE
- BEATO
- S. JOAO
- S. SEBASTIAO DA PEDREIRA
- S. JORGE DE ARROIOS
- PENHA DE FRANCA
- ANJOS
- CORACAO DE JESUS
- PENA
- ALCANTARA
- AJUDA
- S. MAMEDE
- SANTA ENGRACIA
- SANTA ISABEL
- S. JOSE
- S. CONDESTAVEL
- GRACA
- SOCORRO
- S. FRANCISCO XAVIER
- SANTIAGO
- S. VICENTE DE FORA
- MERCES
- SANTA JUSTA
- LAPA
- PRAZERES
- ENCARNACAO
- SANTA CATARINA
- CASTELO
- S. CRISTOVAO E S. LOURENCO
- S. MIGUEL
- S. ESTEVAO
- S. NICOLAU
- SACRAMENTO
- MADALENA
- SANTOS-O-VELHO
- MARTIRES
- SE
- S. PAULO
- SANTA MARIA DE BELEM

Does the name 'MONTE PEDRAL' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"MOSTEIRO","S. TIRSO","1314","You are matching parish names (freguesias) within the municipality (concelho) of 'S. TIRSO' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- AVES
- VILARINHO
- SEQUEIRO
- LAMA
- AREIAS
- S. MARTINHO DO CAMPO
- PALMEIRA
- RORIZ
- S. SALVADOR DO CAMPO
- REBORDOES
- NEGRELOS (S. TOME)
- BURGAES
- S. TIRSO
- NEGRELOS (S. MAMEDE)
- COUTO (SANTA CRISTINA)
- MONTE CORDOVA
- COUTO (S. MIGUEL)
- GUIMAREI
- CARREIRA
- REFOJOS DE RIBA DE AVE
- AGUA LONGA
- LAMELAS
- REGUENGA
- AGRELA

Does the name 'MOSTEIRO' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"NOSSA SENHORA DA CONCEICAO","COVILHA","0503","You are matching parish names (freguesias) within the municipality (concelho) of 'COVILHA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- VERDELHOS
- VALE FORMOSO
- SARZEDO
- ALDEIA DO SOUTO
- ORJAIS
- TEIXOSO
- VILA DO CARVALHO
- UNHAIS DA SERRA
- CORTES DO MEIO
- CANTAR-GALO
- CANHOSO
- PERABOA
- COVILHA (SANTA MARIA)
- COVILHA (CONCEICAO)
- COVILHA (S. MARTINHO)
- BOIDOBRA
- COVILHA (S. PEDRO)
- ERADA
- FERRO
- TORTOSENDO
- SOBRAL DE S. MIGUEL
- PAUL
- PESO
- VALES DO RIO
- CASEGAS
- DOMINGUIZO
- COUTADA
- S. JORGE DA BEIRA
- BARCO
- OURONDO
- ALDEIA DE S. FRANCISCO DE ASSIS

Does the name 'NOSSA SENHORA DA CONCEICAO' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"NOSSA SENHORA DA CONCEICAO","GOLEGA","1412","You are matching parish names (freguesias) within the municipality (concelho) of 'GOLEGA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- GOLEGA
- AZINHAGA

Does the name 'NOSSA SENHORA DA CONCEICAO' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"NOSSA SENHORA DA CONCEICAO","VALPACOS","1712","You are matching parish names (freguesias) within the municipality (concelho) of 'VALPACOS' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- BOUCOAES
- LEBUCAO
- NOZELOS
- FIAES
- TINHELA
- SONIM
- ALVARELHOS
- SANTA VALHA
- FRIOES
- BARREIROS
- ERVOES
- VILARANDELO
- FORNOS DO PINHAL
- VALPACOS
- SERAPICOS
- SANTIAGO DE RIBEIRA DE ALHARIZ
- VASSAL
- POSSACOS
- S. JOAO DA CORVEIRA
- SANFINS
- ALGERIZ
- CARRAZEDO DE MONTENEGRO
- PADRELA E TAZEM
- RIO TORTO
- AGUA REVES E CRASTO
- SANTA MARIA DE EMERES
- CURROS
- VEIGA DE LILA
- CANAVESES
- S. PEDRO DE VEIGA DE LILA
- VALES

Does the name 'NOSSA SENHORA DA CONCEICAO' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
"NOSSA SENHORA DA CONCEICAO","VILA VICOSA","0714","You are matching parish names (freguesias) within the municipality (concelho) of 'VILA VICOSA' in Portugal, using the official 2001 administrative divisions.
Here is the list of official freguesias in this municipality:
- CILADAS
- VILA VICOSA (CONCEICAO)
- VILA VICOSA (S. BARTOLOMEU)
- BENCATEL
- PARDAIS

Does the name 'NOSSA SENHORA DA CONCEICAO' correspond to, or is it a possible variant, abbreviation, or old spelling of, any freguesia in this list?
If yes, return the matching name(s) exactly as written in the list, comma-separated. If not, return 'NONE'. If there is ambiguity, list all plausible options, comma-separated. Do not invent new names."
